2022/08/30 22:23:43 available device: cuda:0
2022/08/30 22:23:57 epoch_out: 0, epoch_in: 0, loss: 0.9758867621421814
2022/08/30 22:24:08 epoch_out: 0, epoch_in: 1, loss: 0.1507488127797842
2022/08/30 22:24:19 epoch_out: 0, epoch_in: 2, loss: -0.15585535056889058
2022/08/30 22:24:30 epoch_out: 0, epoch_in: 3, loss: -0.27877757139503956
2022/08/30 22:24:41 epoch_out: 0, epoch_in: 4, loss: -0.5646304935216904
2022/08/30 22:24:52 epoch_out: 0, epoch_in: 5, loss: -0.8615785457193852
2022/08/30 22:25:04 epoch_out: 0, epoch_in: 6, loss: -1.0142356373369694
2022/08/30 22:25:15 epoch_out: 0, epoch_in: 7, loss: -1.0809301644563676
2022/08/30 22:25:26 epoch_out: 0, epoch_in: 8, loss: -1.5952658578753471
2022/08/30 22:25:37 epoch_out: 0, epoch_in: 9, loss: -1.7895910128951074
2022/08/30 22:25:37 The epoch_out: 0, epoch_in: 9 of training F and G finished, losslist: [0.9758867621421814, 0.1507488127797842, -0.15585535056889058, -0.27877757139503956, -0.5646304935216904, -0.8615785457193852, -1.0142356373369694, -1.0809301644563676, -1.5952658578753471, -1.7895910128951074], acclist: [0, 0.53, 0.45, 0.455, 0.475, 0.51, 0.495, 0.5, 0.545, 0.505, 0.525, 0.5, 0.55, 0.505, 0.53, 0.53, 0.49, 0.525, 0.48, 0.45, 0.48, 0.48, 0.485, 0.54, 0.525, 0.5, 0.535, 0.51, 0.485, 0.49, 0.47, 0.51, 0.505, 0.525, 0.53, 0.56, 0.5, 0.52, 0.51, 0.48, 0.48, 0.485, 0.51, 0.525, 0.53, 0.485, 0.52, 0.495, 0.535, 0.515, 0.525, 0.54, 0.55, 0.52, 0.52, 0.5, 0.495, 0.47, 0.545, 0.535, 0.49, 0.5, 0.515, 0.56, 0.55, 0.51, 0.58, 0.54, 0.52, 0.52, 0.53, 0.505, 0.485, 0.525, 0.53, 0.49, 0.49, 0.49, 0.495, 0.465, 0.495, 0.525, 0.475, 0.51, 0.495, 0.505, 0.51, 0.52, 0.52, 0.535, 0.52, 0.52, 0.505, 0.51, 0.51, 0.53, 0.525, 0.52, 0.505, 0.47, 0.475, 0.525, 0.5, 0.445, 0.495, 0.52, 0.56, 0.535, 0.52, 0.55, 0.525, 0.53, 0.54, 0.54, 0.505, 0.55, 0.53, 0.515, 0.56, 0.51, 0.51, 0.5, 0.545, 0.525, 0.505, 0.525, 0.535, 0.545, 0.53, 0.47, 0.5, 0.515, 0.515, 0.495, 0.49, 0.53, 0.495, 0.495, 0.485, 0.51, 0.51, 0.51, 0.48, 0.52, 0.47, 0.495, 0.565, 0.545, 0.535, 0.495, 0.535, 0.53, 0.505, 0.54, 0.495, 0.53, 0.52, 0.52, 0.52, 0.52, 0.475, 0.49, 0.505, 0.495, 0.535, 0.55, 0.515, 0.535, 0.52, 0.54, 0.57, 0.515, 0.515, 0.515, 0.51, 0.495, 0.51, 0.505, 0.47, 0.515, 0.515, 0.52, 0.49, 0.525, 0.505, 0.49, 0.52, 0.53, 0.55, 0.545, 0.495, 0.505, 0.505, 0.49, 0.545, 0.5, 0.545, 0.515, 0.535, 0.45, 0.485, 0.485, 0.525, 0.51, 0.485, 0.5, 0.465, 0.49, 0.51, 0.505, 0.5, 0.46, 0.485, 0.545, 0.515, 0.505, 0.515, 0.525, 0.51, 0.52, 0.535, 0.54, 0.54, 0.47, 0.495, 0.46, 0.485, 0.51, 0.505, 0.51, 0.525, 0.54, 0.52, 0.53, 0.55, 0.5, 0.5, 0.475, 0.49, 0.495, 0.505, 0.53, 0.505, 0.485, 0.5, 0.51, 0.51, 0.51, 0.485, 0.515, 0.525, 0.485, 0.495, 0.475, 0.51, 0.5, 0.535, 0.505, 0.51, 0.475, 0.485, 0.5, 0.505, 0.46, 0.55, 0.48, 0.49, 0.49, 0.475, 0.51, 0.535, 0.51, 0.53, 0.485, 0.485, 0.495, 0.505, 0.5, 0.52, 0.515, 0.505, 0.475, 0.51, 0.495, 0.52, 0.49, 0.48, 0.515, 0.535, 0.53, 0.52, 0.53, 0.495, 0.525, 0.515, 0.53, 0.525, 0.515, 0.49, 0.505, 0.48, 0.49, 0.515, 0.52, 0.515, 0.545, 0.51, 0.52, 0.5, 0.49, 0.505, 0.545, 0.5, 0.53, 0.515, 0.525, 0.535, 0.515, 0.515, 0.47, 0.49, 0.52, 0.52, 0.515, 0.47, 0.485, 0.5, 0.53, 0.52, 0.52, 0.5, 0.515, 0.5, 0.515, 0.51, 0.545, 0.535, 0.5, 0.54, 0.525, 0.525, 0.495, 0.505, 0.52, 0.505, 0.525, 0.495, 0.51, 0.51, 0.495, 0.53, 0.505, 0.525, 0.52, 0.525, 0.51, 0.475, 0.5, 0.5, 0.49, 0.515, 0.47, 0.495, 0.535, 0.495, 0.555, 0.53, 0.515, 0.5, 0.5, 0.525, 0.47, 0.51, 0.495, 0.485, 0.515, 0.55, 0.495, 0.5, 0.51, 0.525, 0.49, 0.51, 0.515, 0.495, 0.495, 0.495, 0.48, 0.495, 0.49, 0.48, 0.51, 0.5, 0.505, 0.49, 0.52, 0.495, 0.5, 0.535, 0.49, 0.525], finalacc: 0.58, alpha: tensor([0.5141, 0.1895, 0.5628, 0.1903, 0.3272, 0.1583, 0.0717, 0.7650])
