2022/09/01 11:17:07 available device: cuda:0
2022/09/01 11:17:07 batch_size: 50
2022/09/01 11:17:17 epoch_out: 0, epoch_in: 0, loss: 0.34136558324098587
2022/09/01 11:17:23 epoch_out: 0, epoch_in: 1, loss: -0.4569816946983337
2022/09/01 11:17:28 epoch_out: 0, epoch_in: 2, loss: -0.5556429907679558
2022/09/01 11:17:34 epoch_out: 0, epoch_in: 3, loss: -0.8493331462144852
2022/09/01 11:17:39 epoch_out: 0, epoch_in: 4, loss: -1.2235705435276032
2022/09/01 11:17:44 epoch_out: 0, epoch_in: 5, loss: -1.2609348118305206
2022/09/01 11:17:49 epoch_out: 0, epoch_in: 6, loss: -1.578919917345047
2022/09/01 11:17:54 epoch_out: 0, epoch_in: 7, loss: -1.834221601486206
2022/09/01 11:18:00 epoch_out: 0, epoch_in: 8, loss: -1.94382364153862
2022/09/01 11:18:05 epoch_out: 0, epoch_in: 9, loss: -2.289229929447174
2022/09/01 11:18:05 The epoch_out: 0, epoch_in: 9 of training F and G finished, losslist: [0.34136558324098587, -0.4569816946983337, -0.5556429907679558, -0.8493331462144852, -1.2235705435276032, -1.2609348118305206, -1.578919917345047, -1.834221601486206, -1.94382364153862, -2.289229929447174], acclist: [0, 0.505, 0.47, 0.525, 0.54, 0.53, 0.555, 0.525, 0.54, 0.56, 0.55, 0.58, 0.57, 0.545, 0.53, 0.53, 0.53, 0.53, 0.535, 0.54, 0.525, 0.53, 0.55, 0.56, 0.52, 0.535, 0.535, 0.525, 0.505, 0.535, 0.545, 0.555, 0.575, 0.56, 0.54, 0.535, 0.535, 0.535, 0.535, 0.525, 0.545, 0.53, 0.545, 0.565, 0.525, 0.535, 0.555, 0.53, 0.53, 0.57, 0.535, 0.525, 0.55, 0.575, 0.55, 0.535, 0.53, 0.535, 0.53, 0.525, 0.52, 0.54, 0.53, 0.565, 0.555, 0.54, 0.55, 0.525, 0.54, 0.535, 0.53, 0.535, 0.525, 0.545, 0.52, 0.585, 0.53, 0.51, 0.545, 0.545, 0.55, 0.53, 0.55, 0.54, 0.54, 0.535, 0.545, 0.525, 0.535, 0.545, 0.54, 0.54, 0.545, 0.53, 0.52, 0.555, 0.55, 0.52, 0.54, 0.53, 0.53, 0.535, 0.525, 0.54, 0.55, 0.53, 0.525, 0.54, 0.53, 0.54, 0.565, 0.52, 0.55, 0.535, 0.53, 0.53, 0.535, 0.525, 0.54, 0.54, 0.55, 0.565, 0.565, 0.53, 0.54, 0.53, 0.51, 0.545, 0.545, 0.555, 0.525, 0.53, 0.52, 0.52, 0.52, 0.535, 0.535, 0.57, 0.55, 0.56, 0.55, 0.54, 0.555, 0.57, 0.505, 0.53, 0.54, 0.535, 0.52, 0.535, 0.525, 0.555, 0.53, 0.56, 0.545, 0.535, 0.535, 0.53, 0.525, 0.545, 0.56, 0.56, 0.555, 0.555, 0.515, 0.53, 0.5, 0.56, 0.54, 0.55, 0.545, 0.545, 0.535, 0.535, 0.525, 0.545, 0.565, 0.54, 0.525, 0.54, 0.54, 0.545, 0.52, 0.54, 0.54, 0.54, 0.525, 0.565, 0.54, 0.56, 0.53, 0.53, 0.555, 0.56, 0.585, 0.575, 0.56, 0.545, 0.555, 0.565, 0.565], finalacc: 0.585, alpha: tensor([0.7011, 0.7882, 0.1514, 0.2789, 0.9460, 0.1222, 0.4580, 0.5545])
